study,variable_id,outcome_type,denominator,derivation,source_questions,notes
rct,resp_ill_prev_smoke_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=avoiding kitchen smoke cannot prevent someone from getting an illness with a cough and fever, 2=avoiding kitchen smoke can prevent someone from getting an illness with a cough and fever",i2900d,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,resp_ill_prev_smoke_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=avoiding kitchen smoke cannot prevent someone from getting an illness with a cough and fever, 2=avoiding kitchen smoke can prevent someone from getting an illness with a cough and fever",i2900d,
rct,resp_ill_prev_smoke_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=avoiding kitchen smoke cannot prevent someone from getting an illness with a cough and fever, 2=avoiding kitchen smoke can prevent someone from getting an illness with a cough and fever",i2900d,MIRRORED from resp_ill_prev_smoke_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,resp_ill_prev_vacc_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=vaccination cannot prevent someone from getting an illness with a cough and fever, 2=vaccination can prevent someone from getting an illness with a cough and fever",i2900g,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,resp_ill_prev_vacc_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=vaccination cannot prevent someone from getting an illness with a cough and fever, 2=vaccination can prevent someone from getting an illness with a cough and fever",i2900g,MIRRORED from resp_ill_prev_vacc_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,resp_ill_prev_vacc_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=vaccination cannot prevent someone from getting an illness with a cough and fever, 2=vaccination can prevent someone from getting an illness with a cough and fever",i2900g,
rct,resp_ill_prev_vacc_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=vaccination cannot prevent someone from getting an illness with a cough and fever, 2=vaccination can prevent someone from getting an illness with a cough and fever",i2900g,MIRRORED from resp_ill_prev_vacc_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,resp_ill_prev_wash_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=washing hands regularly cannot prevent someone from getting an illness with a cough and fever, 2=washing hands regularly can prevent someone from getting an illness with a cough and fever",i2900b,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,resp_ill_prev_wash_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=washing hands regularly cannot prevent someone from getting an illness with a cough and fever, 2=washing hands regularly can prevent someone from getting an illness with a cough and fever",i2900b,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,resp_ill_prev_wash_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=washing hands regularly cannot prevent someone from getting an illness with a cough and fever, 2=washing hands regularly can prevent someone from getting an illness with a cough and fever",i2900b,
rct,resp_ill_prev_wash_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=washing hands regularly cannot prevent someone from getting an illness with a cough and fever, 2=washing hands regularly can prevent someone from getting an illness with a cough and fever",i2900b,MIRRORED from resp_ill_prev_wash_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,resp_ill_prev_zinc_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=zinc cannot prevent someone from getting an illness with a cough and fever, 2=zinc can prevent someone from getting an illness with a cough and fever",i2900f,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,resp_ill_prev_zinc_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=zinc cannot prevent someone from getting an illness with a cough and fever, 2=zinc can prevent someone from getting an illness with a cough and fever",i2900f,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,resp_ill_prev_zinc_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=zinc cannot prevent someone from getting an illness with a cough and fever, 2=zinc can prevent someone from getting an illness with a cough and fever",i2900f,
rct,resp_ill_prev_zinc_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=zinc cannot prevent someone from getting an illness with a cough and fever, 2=zinc can prevent someone from getting an illness with a cough and fever",i2900f,MIRRORED from resp_ill_prev_zinc_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,resp_ill_w1,practice,all respondents with a complete survey,"999=refused, 0=don’t know if had respiratory illness, 1=respondent did not have respiratory illness for past two weeks, 2=respondent had respiratory illness for past two weeks",c1000,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,resp_ill_w2,practice,all respondents with a complete survey,"999=refused, 0=don’t know if had respiratory illness, 1=respondent did not have respiratory illness for past two weeks, 2=respondent had respiratory illness for past two weeks",c1000,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,resp_ill_w3,practice,all respondents with a complete survey,"999=refused, 0=don’t know if had respiratory illness, 1=respondent did not have respiratory illness for past two weeks, 2=respondent had respiratory illness for past two weeks",c1000,
rct,resp_ill_w4,practice,all respondents with a complete survey,"999=refused, 0=don’t know if had respiratory illness, 1=respondent did not have respiratory illness for past two weeks, 2=respondent had respiratory illness for past two weeks",c1000,MIRRORED from resp_ill_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,resp_target,,,whether respondent was a resident of a targeted household at wave 1,,source row used format A (description-only)
rct,respondent_master_id,,,unique id of respondent,,source row used format A (description-only)
rct,village_code_w1,,,village code of respondent at wave 1,,source row used format A (description-only)
rct,village_code_w2,,,village code of respondent at wave 2,,source row used format A (description-only)
rct,village_code_w3,,,village code of respondent at wave 3,,source row used format A (description-only)
rct,village_name_w1,,,village name of respondent at wave 1,,source row used format A (description-only)
rct,village_name_w2,,,village name of respondent at wave 2,,source row used format A (description-only)
rct,village_name_w3,,,village name of respondent at wave 3,,source row used format A (description-only)
hmb,bfi10_agreeableness,,,Mean of recoded mb_bd0200 and mb_bd0700 (same 5..1 recoding as bfi10_extraversion).,"mb_bd0200, mb_bd0700",Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,bfi10_conscientiousness,,,Mean of recoded mb_bd0300 and mb_bd0800 (same 5..1 recoding as bfi10_extraversion).,"mb_bd0300, mb_bd0800",Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,bfi10_extraversion,,,"Mean of recoded mb_bd0100 and mb_bd0600, where ""Disagree strongly""=5, ""Disagree a little""=4, ""Neither agree nor disagree""=3, ""Agree a little""=2, ""Agree strongly""=1.","mb_bd0100, mb_bd0600",Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,bfi10_neuroticism,,,Mean of recoded mb_bd0400 and mb_bd0900 (same 5..1 recoding as bfi10_extraversion).,"mb_bd0400, mb_bd0900",Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,bfi10_openness_to_experience,,,Mean of recoded mb_bd0500 and mb_bd1000 (same 5..1 recoding as bfi10_extraversion).,"mb_bd0500, mb_bd1000",Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,cognitive_score,,,"Sum of photo_naming_score, photo_verbal_fluidity_score and photo_recall_score.","photo_naming_score, photo_verbal_fluidity_score, photo_recall_score",Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,cognitive_status,,,"Categorized from cognitive_score: <=25 = ""dementia"", 26-28 = ""impairment"", >=29 = ""none"".",cognitive_score,Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,gad7_cat,,,"Categorized from gad7_score: <=5 = ""minimal or none"", 6-10 = ""mild"", 11-15 = ""moderate"", >=16 = ""severe"".",gad7_score,Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,gad7_score,,,"Sum of recoded mb_ba0100 through mb_ba0700, where ""Not at all""=0, ""Several days""=1, ""Over half the days""=2, ""Nearly every day""=3.",mb_ba0100..mb_ba0700,Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,photo_naming_score,,,Sum of mb_bc0100 through mb_bc0600 (1 point per correctly named item).,mb_bc0100..mb_bc0600,Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,photo_recall_score,,,"Sum of mb_bc0900 through mb_bc1400 (2 points unprompted, 1 prompted, 0 if not recalled).",mb_bc0900..mb_bc1400,Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,photo_verbal_fluidity_score,,,Sum of mb_bc0700 and mb_bc0800 (1 point per name provided).,"mb_bc0700, mb_bc0800",Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,phq9_cat,,,"Categorized from phq9_score: <=5 = ""minimal or none"", 6-10 = ""mild"", 11-15 = ""moderate"", 15-19 = ""moderately severe"", >=20 = ""severe"".",phq9_score,Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,phq9_score,,,"Sum of recoded mb_ba0800 through mb_ba1600, where ""Not at all""=0, ""Several days""=1, ""Over half the days""=2, ""Nearly every day""=3.",mb_ba0800..mb_ba1600,Formula transcribed from honduras_hmb_data_guide_v2.pdf
hmb,mb_b0700g_medication,,,"For medications listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b0700g_class,,,"For medications listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b0700g_type,,,"For medications listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b0900e_medication,,,"For vitamins/supplements listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b0900e_class,,,"For vitamins/supplements listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b0900e_type,,,"For vitamins/supplements listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b1100g_medication,,,"For medications listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b1100g_class,,,"For medications listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b1100g_type,,,"For medications listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b1300e_medication,,,"For vitamins/supplements listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b1300e_class,,,"For vitamins/supplements listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b1300e_type,,,"For vitamins/supplements listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b1500h_medication,,,"For antibiotics listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b1500h_class,,,"For antibiotics listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
hmb,mb_b1500h_type,,,"For antibiotics listed as ‘Other’, new variables are created to classify the name, class, and type of each",,harvested from honduras_hmb_data_guide_v2.pdf
