study,variable_id,wave,option_code,label_en,label_en_male,label_es,label_es_male
rct,13800a,2,a,Malnutrition,,La malnutricion,
rct,13800b,2,b,Bleeding with period,,Sangrado del periodo (menstruacion),
rct,13800c,2,c,Not eating iron-rich food,,El no comer alimentos ricos en hierro,
rct,a0200,1,1,Yes,,Sí,
rct,a0200,1,2,No,,No,
rct,a0200,2,1,Yes,,Sí,
rct,a0200,2,2,No,,No,
rct,a0200,3,1,Yes,,Sí,
rct,a0200,3,2,No,,No,
rct,a0200,4,1,Yes,,Sí,
rct,a0200,4,2,No,,No,
rct,a0400,1,1,Yes,,Sí,
rct,a0400,1,2,No,,No,
rct,a0400,2,1,Yes,,Sí,
rct,a0400,2,2,No,,No,
rct,a0400,3,1,Yes,,Sí,
rct,a0400,3,2,No,,No,
rct,a0400,4,1,Yes,,Sí,
rct,a0400,4,2,No,,No,
rct,a1100,1,1,Yes,,Sí,
rct,a1100,1,2,No,,No,
rct,a1100,2,1,Yes,,Sí,
rct,a1100,2,2,No,,No,
rct,a1100,3,1,Yes,,Sí,
rct,a1100,3,2,No,,No,
rct,a1100,4,1,Yes,,Sí,
rct,a1100,4,2,No,,No,
rct,a1300,1,1,Yes,,Sí,
rct,a1300,1,2,No,,No,
rct,a1300,2,1,Yes,,Sí,
rct,a1300,2,2,No,,No,
rct,a1300,3,1,Yes,,Sí,
rct,a1300,3,2,No,,No,
rct,a1300,4,1,Yes,,Sí,
rct,a1300,4,2,No,,No,
rct,a2400,1,1,Yes,,Sí,
rct,a2400,1,2,No,,No,
rct,a2400,2,1,Yes,,Sí,
rct,a2400,2,2,No,,No,
rct,a2400,3,1,Yes,,Sí,
rct,a2400,3,2,No,,No,
rct,a2400,4,1,Yes,,Sí,
rct,a2400,4,2,No,,No,
rct,a2701,3,1,Every day,,Todos los días,
rct,a2701,3,2,A few days a week,,Algunos dias a la semana,
rct,a2701,3,3,A few days a month,,Algunos dias al mes,
rct,a2701,3,4,Rarely/never,,Raramente/nunca,
rct,a2701,4,1,Every day,,Todos los días,
rct,a2701,4,2,A few days a week,,Algunos dias a la semana,
rct,a2701,4,3,A few days a month,,Algunos dias al mes,
rct,a2701,4,4,Rarely/never,,Raramente/nunca,
rct,a2702,3,1,Almost every day,,Todos los días,
rct,a2702,3,2,About once a week,,Algunos dias a la semana,
rct,a2702,3,3,A few times a month,,Algunos dias al mes,
rct,a2702,3,4,About once a month or less,,Raramente/nunca,
rct,a2702,4,1,Almost every day,,Todos los días,
rct,a2702,4,2,About once a week,,Algunos dias a la semana,
rct,a2702,4,3,A few times a month,,Algunos dias al mes,
rct,a2702,4,4,About once a month or less,,Raramente/nunca,
rct,a2703a,3,a,A smile,,Una sonrisa,
rct,a2703a,4,a,A smile,,Una sonrisa,
rct,a2703b,3,b,"A gesture such as a bow, nod or wave",,"Un gesto, como inclinar la cabeza o cuerpo, mover la mano",
rct,a2703b,4,b,"A gesture such as a bow, nod or wave",,"Un gesto, como inclinar la cabeza o cuerpo, mover la mano",
rct,a2703c,3,c,A verbal salute (like saying hello),,"Un saludo verbal (como decir hola, buen dia)",
rct,a2703c,4,c,A verbal salute (like saying hello),,"Un saludo verbal (como decir hola, buen dia)",
rct,a2703d,3,d,A handshake or hi-five,,Se dan o chocan la mano abrazan,
rct,a2703d,4,d,A handshake or hi-five,,Se dan o chocan la mano abrazan,
rct,a2703e,3,e,A pat on the back,,Una palmada en la espalda,
rct,a2703e,4,e,A pat on the back,,Una palmada en la espalda,
rct,a2703f,3,f,A hug,,Un abrazo,
rct,a2703f,4,f,A hug,,Un abrazo,
rct,a2703g,3,g,A kiss on the cheek,,Un beso en el cachete/mejilla,
rct,a2703g,4,g,A kiss on the cheek,,Un beso en el cachete/mejilla,
rct,a2703h,3,h,Other [Specify:],,Otro: (especificar):,
rct,a2703h,4,h,Other [Specify:],,Otro: (especificar):,
rct,a2704a,3,a,A smile,,Una sonrisa,
rct,a2704a,4,a,A smile,,Una sonrisa,
rct,a2704b,3,b,"A gesture such as a bow, nod or wave",,"Un gesto, como inclinar la cabeza o cuerpo, mover la mano",
rct,a2704b,4,b,"A gesture such as a bow, nod or wave",,"Un gesto, como inclinar la cabeza o cuerpo, mover la mano",
rct,a2704c,3,c,A verbal salute (like saying hello),,"Un saludo verbal (como decir hola, buen dia)",
rct,a2704c,4,c,A verbal salute (like saying hello),,"Un saludo verbal (como decir hola, buen dia)",
rct,a2704d,3,d,A handshake or hi-five,,Se dan o chocan la mano abrazan,
rct,a2704d,4,d,A handshake or hi-five,,Se dan o chocan la mano abrazan,
rct,a2704e,3,e,A pat on the back,,Una palmada en la espalda,
rct,a2704e,4,e,A pat on the back,,Una palmada en la espalda,
rct,a2704f,3,f,A hug,,Un abrazo,
rct,a2704f,4,f,A hug,,Un abrazo,
rct,a2704g,3,g,A kiss on the cheek,,Un beso en el cachete/mejilla,
rct,a2704g,4,g,A kiss on the cheek,,Un beso en el cachete/mejilla,
rct,a2704h,3,h,Other [Specify:],,Otro: (especificar):,
rct,a2704h,4,h,Other [Specify:],,Otro: (especificar):,
rct,ab0100,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0100,4,2,Change in sign (antagonism),,Cambio en el signo (antagonismo),
rct,ab0100,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0100,4,4,Selection,,Selección,
rct,ab0100,4,5,Influence,,Influencia,
rct,ab0100,4,6,Person no longer available,,Persona no disponible,
rct,ab0100,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0100,4,8,Participant error,,Error del participante,
rct,ab0100,4,9,Other,,Otro,
rct,ab0200,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0200,4,2,Change in sign (antagonism),,Cambio en el signo (antagonismo),
rct,ab0200,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0200,4,4,Selection,,Selección,
rct,ab0200,4,5,Influence,,Influencia,
rct,ab0200,4,6,Person no longer available,,Persona no disponible,
rct,ab0200,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0200,4,8,Participant error,,Error del participante,
rct,ab0200,4,9,Other,,Otro,
rct,ab0300,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0300,4,2,Change in sign (antagonism),,Cambio en el signo (antagonismo),
rct,ab0300,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0300,4,4,Selection,,Selección,
rct,ab0300,4,5,Influence,,Influencia,
rct,ab0300,4,6,Person no longer available,,Persona no disponible,
rct,ab0300,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0300,4,8,Participant error,,Error del participante,
rct,ab0300,4,9,Other,,Otro,
rct,ab0400,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0400,4,2,Change in sign (antagonism),,Cambio en el signo (antagonismo),
rct,ab0400,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0400,4,4,Selection,,Selección,
rct,ab0400,4,5,Influence,,Influencia,
rct,ab0400,4,6,Person no longer available,,Persona no disponible,
rct,ab0400,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0400,4,8,Participant error,,Error del participante,
rct,ab0400,4,9,Other,,Otro,
rct,ab0500,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0500,4,2,Change in sign (antagonism),,Cambio en el signo (antagonismo),
rct,ab0500,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0500,4,4,Selection,,Selección,
rct,ab0500,4,5,Influence,,Influencia,
rct,ab0500,4,6,Person no longer available,,Persona no disponible,
rct,ab0500,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0500,4,8,Participant error,,Error del participante,
rct,ab0500,4,9,Other,,Otro,
rct,ab0600,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0600,4,2,Change in sign (antagonism),,Cambio en el signo (antagonismo),
rct,ab0600,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0600,4,4,Selection,,Selección,
rct,ab0600,4,5,Influence,,Influencia,
rct,ab0600,4,6,Person no longer available,,Persona no disponible,
rct,ab0600,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0600,4,8,Participant error,,Error del participante,
rct,ab0600,4,9,Other,,Otro,
rct,ab0700,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0700,4,2,Change in sign (antagonism),,Cambio en el signo (antagonismo),
rct,ab0700,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0700,4,4,Selection,,Selección,
rct,ab0700,4,5,Influence,,Influencia,
rct,ab0700,4,6,Person no longer available,,Persona no disponible,
rct,ab0700,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0700,4,8,Participant error,,Error del participante,
rct,ab0700,4,9,Other,,Otro,
rct,ab0800,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0800,4,2,Change in sign (frienship),,Cambio en el signo (amistad),
rct,ab0800,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0800,4,4,Selection,,Selección,
rct,ab0800,4,5,Influence,,Influencia,
rct,ab0800,4,6,Person no longer available,,Persona no disponible,
rct,ab0800,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0800,4,8,Participant error,,Error del participante,
rct,ab0800,4,9,Other,,Otro,
rct,ab0900,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0900,4,2,Change in sign (friendship),,Cambio en el signo (amistad),
rct,ab0900,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0900,4,4,Selection,,Selección,
rct,ab0900,4,5,Influence,,Influencia,
rct,ab0900,4,6,Person no longer available,,Persona no disponible,
rct,ab0900,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0900,4,8,Participant error,,Error del participante,
rct,ab0900,4,9,Other,,Otro,
rct,ab1000,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab1000,4,2,Change in sign (friendship),,Cambio en el signo (amistad),
rct,ab1000,4,3,Avoidance,,Evitar/Ignorar,
rct,ab1000,4,4,Selection,,Selección,
rct,ab1000,4,5,Influence,,Influencia,
rct,ab1000,4,6,Person no longer available,,Persona no disponible,
rct,ab1000,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab1000,4,8,Participant error,,Error del participante,
rct,ab1000,4,9,Other,,Otro,
rct,ab1100,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab1100,4,2,Change in sign (friendship),,Cambio en el signo (amistad),
rct,ab1100,4,3,Avoidance,,Evitar/Ignorar,
rct,ab1100,4,4,Selection,,Selección,
rct,ab1100,4,5,Influence,,Influencia,
rct,ab1100,4,6,Person no longer available,,Persona no disponible,
rct,ab1100,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab1100,4,8,Participant error,,Error del participante,
rct,ab1100,4,9,Other,,Otro,
rct,ab1200,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab1200,4,2,Change in sign (friendship),,Cambio en el signo (amistad),
rct,ab1200,4,3,Avoidance,,Evitar/Ignorar,
rct,ab1200,4,4,Selection,,Selección,
rct,ab1200,4,5,Influence,,Influencia,
rct,ab1200,4,6,Person no longer available,,Persona no disponible,
rct,ab1200,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab1200,4,8,Participant error,,Error del participante,
rct,ab1200,4,9,Other,,Otro,
rct,b0100,1,1,Have not completed any type of school,,No ha completado ningún tipo de educación,
rct,b0100,1,10,More than secondary,,Más de secundaria,
rct,b0100,1,2,1st grade,,1er grado,
rct,b0100,1,3,2nd grade,,2do grado,
rct,b0100,1,4,3rd grade,,3er grado,
rct,b0100,1,5,4th grade,,4to grado,
rct,b0100,1,6,5th grade,,5to grado,
rct,b0100,1,7,6th grade,,6to grado,
rct,b0100,1,8,Some secondary,,"Algunos años de secundaria (colegio, bachillerato).",
rct,b0100,1,9,Secondary,,"Secundaria completa (colegio, bachillerato)",
rct,b0100,2,1,Have not completed any type of school,,No ha completado ningún tipo de educación,
rct,b0100,2,10,More than secondary,,Más de secundaria,
rct,b0100,2,2,1st grade,,1er grado,
rct,b0100,2,3,2nd grade,,2do grado,
rct,b0100,2,4,3rd grade,,3er grado,
rct,b0100,2,5,4th grade,,4to grado,
rct,b0100,2,6,5th grade,,5to grado,
rct,b0100,2,7,6th grade,,6to grado,
rct,b0100,2,8,Some secondary,,"Algunos años de secundaria (colegio, bachillerato).",
rct,b0100,2,9,Secondary,,"Secundaria completa (colegio, bachillerato)",
rct,b0100,3,1,Have not completed any type of school,,No ha completado ningún tipo de educación,
rct,b0100,3,10,More than secondary,,Más de secundaria,
rct,b0100,3,2,1st grade,,1er grado,
rct,b0100,3,3,2nd grade,,2do grado,
rct,b0100,3,4,3rd grade,,3er grado,
rct,b0100,3,5,4th grade,,4to grado,
rct,b0100,3,6,5th grade,,5to grado,
rct,b0100,3,7,6th grade,,6to grado,
rct,b0100,3,8,Some secondary,,"Algunos años de secundaria (colegio, bachillerato).",
rct,b0100,3,9,Secondary,,"Secundaria completa (colegio, bachillerato)",
rct,b0100,4,1,Have not completed any type of school,,No ha completado ningún tipo de educación,
rct,b0100,4,10,More than secondary,,Más de secundaria,
rct,b0100,4,2,1st grade,,1er grado,
rct,b0100,4,3,2nd grade,,2do grado,
rct,b0100,4,4,3rd grade,,3er grado,
rct,b0100,4,5,4th grade,,4to grado,
rct,b0100,4,6,5th grade,,5to grado,
rct,b0100,4,7,6th grade,,6to grado,
rct,b0100,4,8,Some secondary,,"Algunos años de secundaria (colegio, bachillerato).",
rct,b0100,4,9,Secondary,,"Secundaria completa (colegio, bachillerato)",
rct,b0111,4,a,"Housework, housewife, caring for children or elderly people at home",,"Quehaceres del hogar, ama de casa, cuidar niños o adultos mayores en casa",
rct,b0111,4,b,"Employee of a service or goods sales company (for example stores, food merchant, clothing, etc.)",,"Empleado(a) de empresa de servicios o de ventas de bienes (por ejemplo tiendas, comercio de comidas, ropas, etc)",
rct,b0111,4,c,"Merchant, business owner, boss or employer (for example clothing, food, etc.)",,"Comerciante, dueño(a) de negocio, patró(a) o empleador(a) (por ejemplo ropa, comidas, etc)",
rct,b0111,4,d,"Work in the field (farmer, day laborer, etc.)",,"Trabaja en campo (agricultor, jornalero, etc)",
rct,b0111,4,e,Owner of a farm,,Dueño(a) de finca/ hacienda,
rct,b0111,4,f,"Trades (for example construction, carpenter, craftsman, mechanic, driver, midwife, security guard, etc.)",,"Oficios (ejemplos albañil, carpintero(a), o artesano(a), mecanico(a), chofer, partera, vigilante, etc)",
rct,b0111,4,g,"Profession (for example teachers, nurses, promoters, etc.)",,"Profesion (ejemplos maestros, enfermeros, promotores, etc)",
rct,b0111,4,h,Armed or police forces,,Fuerzas armadas o de policía,
rct,b0111,4,i,Student,,Estudiante,
rct,b0111,4,j,Looking for a job,,Buscando empleo,
rct,b0111,4,k,Not working but not looking for a job/ employment,,Sin empleo pero no buscando empleo,
rct,b0111,4,l,Retired/ pensioned,,"Jubilado, pensionado, retirado",
rct,b0111,4,m,Not working due to disability,,Discapacitado para trabajar,
rct,b0111,4,n,Other,,Otro,
rct,b0116,4,a,No,,No,
rct,b0116,4,b,"Work on a farm, cropland or ranch",,"Trabajo en una finca, cultivo o hacienda",
rct,b0116,4,c,"Sale of food, products or fruits and vegetables",,"Venta de comida, productos o frutas y vegetales",
rct,b0116,4,d,"Construction, repair or cleaning service",,"Servicios de construcción, reparación o limpieza",
rct,b0116,4,e,Some service in the tourist area,,Trabajo en el sector turistico,
rct,b0116,4,f,Provide transportation service,,Proveer servicio de transporte,
rct,b0116,4,g,Manufacture of articles or handicrafts,,Fabricacion de articulos o artesanias,
rct,b0116,4,h,Working or helping family/relative without pay (i.e. at a shop or domestic work),,Trabajo o ayuda para un familiar o pariente sin recibir pago (por ejemplo en una tienda o trabajo doméstico),
rct,b0116,4,i,Other,,Otro,
rct,b0200,1,1,No,,No,
rct,b0200,1,2,"Yes, Maya Chorti",,"Si, Maya Chorti",
rct,b0200,1,3,"Yes, Lenca",,"Si, Lenca",
rct,b0200,1,4,Other,,Otro,
rct,b0200,2,1,No,,No,
rct,b0200,2,2,"Yes, Maya Chorti",,"Si, Maya Chorti",
rct,b0200,2,3,"Yes, Lenca",,"Si, Lenca",
rct,b0200,2,4,Other,,Otro,
rct,b0200,3,1,No,,No,
rct,b0200,3,2,"Yes, Maya Chorti",,"Si, Maya Chorti",
rct,b0200,3,3,"Yes, Lenca",,"Si, Lenca",
rct,b0200,3,4,Other,,Otro,
rct,b0200,4,1,No,,No,
rct,b0200,4,2,"Yes, Maya Chorti",,"Si, Maya Chorti",
rct,b0200,4,3,"Yes, Lenca",,"Si, Lenca",
rct,b0200,4,4,Other,,Otro,
rct,b0300,1,1,Yes,,Sí,
rct,b0300,1,2,No,,No,
rct,b0300,2,1,Yes,,Sí,
rct,b0300,2,2,No,,No,
rct,b0300,3,1,Yes,,Sí,
rct,b0300,3,2,No,,No,
rct,b0400,1,1,Yes,,Sí,
rct,b0400,1,2,No,,No,
rct,b0400,2,1,Yes,,Sí,
rct,b0400,2,2,No,,No,
rct,b0400,3,1,Yes,,Sí,
rct,b0400,3,2,No,,No,
rct,b0510,4,1,Very important,,Muy importante,
rct,b0510,4,2,Somewhat important,,Algo importante,
rct,b0510,4,3,Not very important,,Poco importante,
rct,b0510,4,4,Not at all important,,Nada importante,
rct,b0520,4,1,More than once a day,,Mas de una vez al dia,
rct,b0520,4,2,About once a day,,Como una vez al dia,
rct,b0520,4,3,Sometimes,,Algunas veces,
rct,b0520,4,4,Never,,Nunca,
rct,b0530,4,1,More than once per week,,Más de una vez por semana,
rct,b0530,4,2,Once per week,,Una vez por semana,
rct,b0530,4,3,Once a month,,Una vez al mes,
rct,b0530,4,4,Once or twice a year,,Una o dos veces al año,
rct,b0530,4,5,Never or almost never,,Nunca o casi nunca,
rct,b0600,1,1,Protestant,,Evangélica,
rct,b0600,1,2,Catholic,,Católica,
rct,b0600,1,3,Mormon,,Mormón,
rct,b0600,1,4,No Religion,,No tiene religión,
rct,b0600,1,5,Other,,Otro,
rct,b0600,2,1,Protestant,,Evangélica,
rct,b0600,2,2,Catholic,,Católica,
rct,b0600,2,3,Mormon,,Mormón,
rct,b0600,2,4,No Religion,,No tiene religión,
rct,b0600,2,5,Other,,Otro,
rct,b0600,3,1,Protestant,,Evangélica,
rct,b0600,3,2,Catholic,,Católica,
rct,b0600,3,3,Mormon,,Mormón,
rct,b0600,3,4,No Religion,,No tiene religión,
rct,b0600,3,5,Other,,Otro,
rct,b0600,4,1,Protestant,,Evangélica,
rct,b0600,4,2,Catholic,,Católica,
rct,b0600,4,3,Mormon,,Mormón,
rct,b0600,4,4,No Religion,,No tiene religión,
rct,b0600,4,5,Other,,Otro,
rct,b0700,1,1,"No, no plans to leave",,"No, sin planes de irse",
rct,b0700,1,2,"Yes, to another village inside the department of Copan",,"Sí, a otra aldea dentro del departamento de Copan",
rct,b0700,1,3,"Yes, to another village outside of the department of Copan",,"Sí, a una aldea fuera del departamento de Copan",
rct,b0700,1,4,"Yes, to another country",,"Si, a otro país",
rct,b0700,2,1,"No, no plans to leave",,"No, sin planes de irse",
rct,b0700,2,2,"Yes, to another village inside the department of Copan",,"Sí, a otra aldea dentro del departamento de Copan",
rct,b0700,2,3,"Yes, to another village outside of the department of Copan",,"Sí, a una aldea fuera del departamento de Copan",
rct,b0700,2,4,"Yes, to another country",,"Si, a otro país",
rct,b0700,3,1,"No, no plans to leave",,"No, sin planes de irse",
rct,b0700,3,2,"Yes, to another village inside the department of Copan",,"Sí, a otra aldea dentro del departamento de Copan",
rct,b0700,3,3,"Yes, to another village outside of the department of Copan",,"Sí, a una aldea fuera del departamento de Copan",
rct,b0700,3,4,"Yes, to another country",,"Si, a otro país",
rct,b0700,4,1,"No, no plans to leave",NA,"No, sin planes de irse",NA
rct,b0700,4,2,"Yes, to another village inside the department of Copan",NA,"Sí, a otra aldea dentro del departamento de Copan",NA
rct,b0700,4,3,"Yes, to another village outside of the department of Copan",NA,"Sí, a una aldea fuera del departamento de Copan",NA
rct,b0700,4,4,"Yes, to another country",NA,"Si, a otro país",NA
rct,b0800,1,1,Since birth,,Desde que nació,
rct,b0800,1,2,Less than a year,,Menos de un año,
rct,b0800,1,3,More than a year,,Más de un año,
rct,b0800,2,1,Since birth,,Desde que nació,
rct,b0800,2,2,Less than a year,,Menos de un año,
rct,b0800,2,3,More than a year,,Más de un año,
rct,b0800,3,1,Since birth,,Desde que nació,
rct,b0800,3,2,Less than a year,,Menos de un año,
rct,b0800,3,3,More than a year,,Más de un año,
rct,b0800,4,1,Since birth,,Desde que nació,
rct,b0800,4,2,Less than a year,,Menos de un año,
rct,b0800,4,3,More than a year,,Más de un año,
rct,b1000,4,a,Health promoter,,Promotor/promotora de salud,
rct,b1000,4,b,Community health volunteer,,Voluntario de salud comunitaria,
rct,b1000,4,c,"Member of community (village council, water board, parents association)",,"Miembro de junta comunitaria (patronato, junta de agua, sociedad de padres)",
rct,b1000,4,d,Patron/Patrona (other people work for you),,Patron/Patrona (otras personas trabajan para usted),
rct,b1000,4,e,Midwife,,Partera/Comadrona,
rct,b1000,4,f,Priest/Pastor or religious leader,,Cura/Pastor o lider religioso,
rct,b1000,4,g,President/leader of indigenous council,,Presidente/dirigente del consejo mayor indigena,
rct,b1000,4,h,Political organizer/leader,,Dirigente o lider politico,
rct,b1000,4,i,None of the above,,Ninguno,
rct,b1000a,1,a,Health promoter,,Promotor/promotora de salud,
rct,b1000a,2,a,Health promoter,,Promotor/promotora de salud,
rct,b1000a,3,a,Health promoter,,Promotor/promotora de salud,
rct,b1000b,1,b,Commuity health volunteer,,Voluntario de salud comunitaria,
rct,b1000b,2,b,Commuity health volunteer,,Voluntario de salud comunitaria,
rct,b1000b,3,b,Commuity health volunteer,,Voluntario de salud comunitaria,
rct,b1000c,1,c,"Member of community boards ( village council, water board, parents association)",,"Miembro de junta comunitaria (patronato, junta de agua, sociedad de padres",
rct,b1000c,2,c,"Member of community boards ( village council, water board, parents association)",,"Miembro de junta comunitaria (patronato, junta de agua, sociedad de padres",
rct,b1000c,3,c,"Member of community boards ( village council, water board, parents association)",,"Miembro de junta comunitaria (patronato, junta de agua, sociedad de padres",
rct,b1000d,1,d,Patron/Patrona (other people work for you),,Patron/Patrona (otras personas trabajan para usted),
rct,b1000d,2,d,Patron/Patrona (other people work for you),,Patron/Patrona (otras personas trabajan para usted),
rct,b1000d,3,d,Patron/Patrona (other people work for you),,Patron/Patrona (otras personas trabajan para usted),
rct,b1000e,1,e,Midwife,,Partera/Comadrona,
rct,b1000e,2,e,Midwife,,Partera/Comadrona,
rct,b1000e,3,e,Midwife,,Partera/Comadrona,
rct,b1000f,1,f,Priest/Pastor or religious leader,,Cura/Pastor o lider religioso,
rct,b1000f,2,f,Priest/Pastor or religious leader,,Cura/Pastor o lider religioso,
rct,b1000f,3,f,Priest/Pastor or religious leader,,Cura/Pastor o lider religioso,
rct,b1000g,1,g,President/leader of indigenous council,,Presidente/dirigente del consejo mayor indigena,
rct,b1000g,2,g,President/leader of indigenous council,,Presidente/dirigente del consejo mayor indigena,
rct,b1000g,3,g,President/leader of indigenous council,,Presidente/dirigente del consejo mayor indigena,
rct,b1000h,1,h,Political organizer/leader,,Dirigente o lider politico,
rct,b1000h,2,h,Political organizer/leader,,Dirigente o lider politico,
rct,b1000h,3,h,Political organizer/leader,,Dirigente o lider politico,
rct,b1000i,1,i,None of the above,,Ninguno,
rct,b1000i,2,i,None of the above,,Ninguno,
rct,b1000i,3,i,None of the above,,Ninguno,
rct,c0100,1,1,excellent,,Excelente,
rct,c0100,1,2,very good,,Muy buena,
rct,c0100,1,3,good,,Buena,
rct,c0100,1,4,fair,,Regular,
rct,c0100,1,5,poor,,Mala,
rct,c0100,2,1,excellent,,Excelente,
rct,c0100,2,2,very good,,Muy buena,
rct,c0100,2,3,good,,Buena,
rct,c0100,2,4,fair,,Regular,
rct,c0100,2,5,poor,,Mala,
rct,c0100,3,1,excellent,,Excelente,
rct,c0100,3,2,very good,,Muy buena,
rct,c0100,3,3,good,,Buena,
rct,c0100,3,4,fair,,Regular,
rct,c0100,3,5,poor,,Mala,
rct,c0100,4,1,excellent,,Excelente,
rct,c0100,4,2,very good,,Muy buena,
rct,c0100,4,3,good,,Buena,
rct,c0100,4,4,fair,,Regular,
rct,c0100,4,5,poor,,Mala,
rct,c0110,4,0,0- Not satisfied at all,,0- Para nada satisfecho,
rct,c0110,4,1,1,,1,
rct,c0110,4,10,10- Completely satisfied,,10- Completamente satisfecho,
rct,c0110,4,2,2,,2,
rct,c0110,4,3,3,,3,
rct,c0110,4,4,4,,4,
rct,c0110,4,5,5,,5,
rct,c0110,4,6,6,,6,
rct,c0110,4,7,7,,7,
rct,c0110,4,8,8,,8,
rct,c0110,4,9,9,,9,
rct,c0120,4,0,0- Not at all worthwhile,,0- Para nada valen la pena,
rct,c0120,4,1,1,,1,
rct,c0120,4,10,10- Completely worthwhile,,10- Totalmente valen la pena,
rct,c0120,4,2,2,,2,
rct,c0120,4,3,3,,3,
rct,c0120,4,4,4,,4,
rct,c0120,4,5,5,,5,
rct,c0120,4,6,6,,6,
rct,c0120,4,7,7,,7,
rct,c0120,4,8,8,,8,
rct,c0120,4,9,9,,9,
rct,c0130,4,0,0- Extremely unhappy,,0- Extremadamente infeliz,
rct,c0130,4,1,1,,1,
rct,c0130,4,10,10- Extremely happy,,10- Extremadamente feliz,
rct,c0130,4,2,2,,2,
rct,c0130,4,3,3,,3,
rct,c0130,4,4,4,,4,
rct,c0130,4,5,5,,5,
rct,c0130,4,6,6,,6,
rct,c0130,4,7,7,,7,
rct,c0130,4,8,8,,8,
rct,c0130,4,9,9,,9,
rct,c0140,4,0,0- Strongly disagree,,0- Para nada de acuerdo,
rct,c0140,4,1,1,,1,
rct,c0140,4,10,10- Strongly agree,,10- Totalmente de acuerdo,
rct,c0140,4,2,2,,2,
rct,c0140,4,3,3,,3,
rct,c0140,4,4,4,,4,
rct,c0140,4,5,5,,5,
rct,c0140,4,6,6,,6,
rct,c0140,4,7,7,,7,
rct,c0140,4,8,8,,8,
rct,c0140,4,9,9,,9,
rct,c0150,4,0,0- Strongly disagree,,0-  Para nada de acuerdo,
rct,c0150,4,1,1,,1,
rct,c0150,4,10,10- Strongly agree,,10- Totalmente de acuerdo,
rct,c0150,4,2,2,,2,
rct,c0150,4,3,3,,3,
rct,c0150,4,4,4,,4,
rct,c0150,4,5,5,,5,
rct,c0150,4,6,6,,6,
rct,c0150,4,7,7,,7,
rct,c0150,4,8,8,,8,
rct,c0150,4,9,9,,9,
rct,c0160,4,0,0- Strongly disagree,,0- Para nada de acuerdo,
rct,c0160,4,1,1,,1,
rct,c0160,4,10,10- Strongly agree,,10- Totalmente de acuerdo,
rct,c0160,4,2,2,,2,
rct,c0160,4,3,3,,3,
rct,c0160,4,4,4,,4,
rct,c0160,4,5,5,,5,
rct,c0160,4,6,6,,6,
rct,c0160,4,7,7,,7,
rct,c0160,4,8,8,,8,
rct,c0160,4,9,9,,9,
rct,c0170,4,0,0- Not true of me,,0- Para nada cierto sobre usted,
rct,c0170,4,1,1,,1,
rct,c0170,4,10,10- Completely true of me,,10- Totalmente cierto sobre usted,
rct,c0170,4,2,2,,2,
rct,c0170,4,3,3,,3,
rct,c0170,4,4,4,,4,
rct,c0170,4,5,5,,5,
rct,c0170,4,6,6,,6,
